Participant, Trial, Date, Time, Reference Orientation, Submitted Orientation, Rotations (Relative to Reference Orientation), Heading File, Gyroscope File, Accelerometer File
06, 1, 13/09/2018, 11:47:57, 166.68855285645, 157.40724182129, 90.779486321118, heading_data_06_trial_1_on_13-09-2018_11-47-57.csv, gyroscope_data_06_trial_1_on_13-09-2018_11-47-57.csv, accelerometer_data_06_trial_1_on_13-09-2018_11-47-57.csv
06, 2, 13/09/2018, 11:49:08, 166.68855285645, 318.48513793945, 90 > -212.74582530646, heading_data_06_trial_2_on_13-09-2018_11-49-08.csv, gyroscope_data_06_trial_2_on_13-09-2018_11-49-08.csv, accelerometer_data_06_trial_2_on_13-09-2018_11-49-08.csv
06, 3, 13/09/2018, 11:50:48, 166.68855285645, 162.30535888672, 120.086504554, heading_data_06_trial_3_on_13-09-2018_11-50-48.csv, gyroscope_data_06_trial_3_on_13-09-2018_11-50-48.csv, accelerometer_data_06_trial_3_on_13-09-2018_11-50-48.csv
06, 4, 13/09/2018, 11:51:26, 166.68855285645, 145.39712524414, 300.78414652633, heading_data_06_trial_4_on_13-09-2018_11-51-26.csv, gyroscope_data_06_trial_4_on_13-09-2018_11-51-26.csv, accelerometer_data_06_trial_4_on_13-09-2018_11-51-26.csv
06, 5, 13/09/2018, 11:52:11, 166.68855285645, 27.854539871216, 144.96380418991 > -230.49792305508, heading_data_06_trial_5_on_13-09-2018_11-52-11.csv, gyroscope_data_06_trial_5_on_13-09-2018_11-52-11.csv, accelerometer_data_06_trial_5_on_13-09-2018_11-52-11.csv
06, 6, 13/09/2018, 11:52:55, 166.68855285645, 261.15689086914, 229.70785224437 > -130.48402454363, heading_data_06_trial_6_on_13-09-2018_11-52-55.csv, gyroscope_data_06_trial_6_on_13-09-2018_11-52-55.csv, accelerometer_data_06_trial_6_on_13-09-2018_11-52-55.csv
06, 7, 13/09/2018, 11:53:48, 166.68855285645, 229.9988861084, -225 > 290.50663207671 > 60.093229713834, heading_data_06_trial_7_on_13-09-2018_11-53-48.csv, gyroscope_data_06_trial_7_on_13-09-2018_11-53-48.csv, accelerometer_data_06_trial_7_on_13-09-2018_11-53-48.csv
06, 8, 13/09/2018, 11:54:46, 166.68855285645, 59.447555541992, -290.55604521958 > 265.94446288982 > -70.756814756252, heading_data_06_trial_8_on_13-09-2018_11-54-46.csv, gyroscope_data_06_trial_8_on_13-09-2018_11-54-46.csv, accelerometer_data_06_trial_8_on_13-09-2018_11-54-46.csv
06, 9, 13/09/2018, 11:55:43, 166.68855285645, 29.633584976196, -200.97349342132 > 310.61188586371 > -189.06926770225, heading_data_06_trial_9_on_13-09-2018_11-55-43.csv, gyroscope_data_06_trial_9_on_13-09-2018_11-55-43.csv, accelerometer_data_06_trial_9_on_13-09-2018_11-55-43.csv
06, 10, 13/09/2018, 11:58:01, 166.68855285645, 172.17964172363, 90.535458985565, heading_data_06_trial_10_on_13-09-2018_11-58-01.csv, gyroscope_data_06_trial_10_on_13-09-2018_11-58-01.csv, accelerometer_data_06_trial_10_on_13-09-2018_11-58-01.csv
06, 11, 13/09/2018, 11:58:28, 166.68855285645, 166.61639404297, -120.74534928177, heading_data_06_trial_11_on_13-09-2018_11-58-28.csv, gyroscope_data_06_trial_11_on_13-09-2018_11-58-28.csv, accelerometer_data_06_trial_11_on_13-09-2018_11-58-28.csv
06, 12, 13/09/2018, 11:58:53, 166.68855285645, 268.81781005859, 225.97102193108, heading_data_06_trial_12_on_13-09-2018_11-58-53.csv, gyroscope_data_06_trial_12_on_13-09-2018_11-58-53.csv, accelerometer_data_06_trial_12_on_13-09-2018_11-58-53.csv
06, 13, 13/09/2018, 11:59:25, 166.68855285645, 24.393547058105, 223.090847567, heading_data_06_trial_13_on_13-09-2018_11-59-25.csv, gyroscope_data_06_trial_13_on_13-09-2018_11-59-25.csv, accelerometer_data_06_trial_13_on_13-09-2018_11-59-25.csv
06, 14, 13/09/2018, 12:00:14, 166.68855285645, 275.72598266602, 300.19985807114, heading_data_06_trial_14_on_13-09-2018_12-00-14.csv, gyroscope_data_06_trial_14_on_13-09-2018_12-00-14.csv, accelerometer_data_06_trial_14_on_13-09-2018_12-00-14.csv
06, 15, 13/09/2018, 12:01:04, 166.68855285645, 297.41986083984, 325.162083194 > -201.28354338889, heading_data_06_trial_15_on_13-09-2018_12-01-04.csv, gyroscope_data_06_trial_15_on_13-09-2018_12-01-04.csv, accelerometer_data_06_trial_15_on_13-09-2018_12-01-04.csv
06, 16, 13/09/2018, 12:01:50, 166.68855285645, 298.9501953125, 227.489552922 > -130.21593754308, heading_data_06_trial_16_on_13-09-2018_12-01-50.csv, gyroscope_data_06_trial_16_on_13-09-2018_12-01-50.csv, accelerometer_data_06_trial_16_on_13-09-2018_12-01-50.csv
06, 17, 13/09/2018, 12:02:41, 166.68855285645, 126.7798614502, -225.71615994547 > 290.81215437657, heading_data_06_trial_17_on_13-09-2018_12-02-41.csv, gyroscope_data_06_trial_17_on_13-09-2018_12-02-41.csv, accelerometer_data_06_trial_17_on_13-09-2018_12-02-41.csv
06, 18, 13/09/2018, 12:03:24, 166.68855285645, 186.61415100098, -281.30993247402 > 432.47628390778, heading_data_06_trial_18_on_13-09-2018_12-03-24.csv, gyroscope_data_06_trial_18_on_13-09-2018_12-03-24.csv, accelerometer_data_06_trial_18_on_13-09-2018_12-03-24.csv
