Participant, Trial, Date, Time, Reference Orientation, Submitted Orientation, Rotations (Relative to Reference Orientation), Heading File, Gyroscope File, Accelerometer File
21, 1, 31/10/2018, 11:05:54, 1.0159301757812, 4.8130631446838, 90.779486321118, heading_data_21_trial_1_on_31-10-2018_11-05-54.csv, gyroscope_data_21_trial_1_on_31-10-2018_11-05-54.csv, accelerometer_data_21_trial_1_on_31-10-2018_11-05-54.csv
21, 2, 31/10/2018, 11:06:25, 1.0159301757812, 280.89367675781, 90 > -212.74582530646, heading_data_21_trial_2_on_31-10-2018_11-06-25.csv, gyroscope_data_21_trial_2_on_31-10-2018_11-06-25.csv, accelerometer_data_21_trial_2_on_31-10-2018_11-06-25.csv
21, 3, 31/10/2018, 11:06:47, 1.0159301757812, 24.814628601074, 120.086504554, heading_data_21_trial_3_on_31-10-2018_11-06-47.csv, gyroscope_data_21_trial_3_on_31-10-2018_11-06-47.csv, accelerometer_data_21_trial_3_on_31-10-2018_11-06-47.csv
21, 4, 31/10/2018, 11:07:15, 1.0159301757812, 216.68940734863, 300.78414652633, heading_data_21_trial_4_on_31-10-2018_11-07-15.csv, gyroscope_data_21_trial_4_on_31-10-2018_11-07-15.csv, accelerometer_data_21_trial_4_on_31-10-2018_11-07-15.csv
21, 5, 31/10/2018, 11:08:01, 1.0159301757812, 282.95785522461, 144.96380418991 > -230.49792305508, heading_data_21_trial_5_on_31-10-2018_11-08-01.csv, gyroscope_data_21_trial_5_on_31-10-2018_11-08-01.csv, accelerometer_data_21_trial_5_on_31-10-2018_11-08-01.csv
21, 6, 31/10/2018, 11:08:42, 1.0159301757812, 91.095726013184, 229.70785224437 > -130.48402454363, heading_data_21_trial_6_on_31-10-2018_11-08-42.csv, gyroscope_data_21_trial_6_on_31-10-2018_11-08-42.csv, accelerometer_data_21_trial_6_on_31-10-2018_11-08-42.csv
21, 7, 31/10/2018, 11:09:35, 1.0159301757812, 155.3405456543, -225 > 290.50663207671 > 60.093229713834, heading_data_21_trial_7_on_31-10-2018_11-09-35.csv, gyroscope_data_21_trial_7_on_31-10-2018_11-09-35.csv, accelerometer_data_21_trial_7_on_31-10-2018_11-09-35.csv
21, 8, 31/10/2018, 11:10:44, 1.0159301757812, 286.40582275391, -290.55604521958 > 265.94446288982 > -70.756814756252, heading_data_21_trial_8_on_31-10-2018_11-10-44.csv, gyroscope_data_21_trial_8_on_31-10-2018_11-10-44.csv, accelerometer_data_21_trial_8_on_31-10-2018_11-10-44.csv
21, 9, 31/10/2018, 11:11:39, 1.0159301757812, 282.38922119141, -200.97349342132 > 310.61188586371 > -189.06926770225, heading_data_21_trial_9_on_31-10-2018_11-11-39.csv, gyroscope_data_21_trial_9_on_31-10-2018_11-11-39.csv, accelerometer_data_21_trial_9_on_31-10-2018_11-11-39.csv
21, 10, 31/10/2018, 11:12:34, 1.0159301757812, 39.258571624756, 90.535458985565, heading_data_21_trial_10_on_31-10-2018_11-12-34.csv, gyroscope_data_21_trial_10_on_31-10-2018_11-12-34.csv, accelerometer_data_21_trial_10_on_31-10-2018_11-12-34.csv
21, 11, 31/10/2018, 11:13:00, 1.0159301757812, 311.83547973633, -120.74534928177, heading_data_21_trial_11_on_31-10-2018_11-13-00.csv, gyroscope_data_21_trial_11_on_31-10-2018_11-13-00.csv, accelerometer_data_21_trial_11_on_31-10-2018_11-13-00.csv
21, 12, 31/10/2018, 11:13:29, 1.0159301757812, 37.436889648438, 225.97102193108, heading_data_21_trial_12_on_31-10-2018_11-13-29.csv, gyroscope_data_21_trial_12_on_31-10-2018_11-13-29.csv, accelerometer_data_21_trial_12_on_31-10-2018_11-13-29.csv
21, 13, 31/10/2018, 11:14:05, 1.0159301757812, 50.419910430908, 223.090847567, heading_data_21_trial_13_on_31-10-2018_11-14-05.csv, gyroscope_data_21_trial_13_on_31-10-2018_11-14-05.csv, accelerometer_data_21_trial_13_on_31-10-2018_11-14-05.csv
21, 14, 31/10/2018, 11:14:43, 1.0159301757812, 85.512344360352, 300.19985807114, heading_data_21_trial_14_on_31-10-2018_11-14-43.csv, gyroscope_data_21_trial_14_on_31-10-2018_11-14-43.csv, accelerometer_data_21_trial_14_on_31-10-2018_11-14-43.csv
21, 15, 31/10/2018, 11:15:32, 1.0159301757812, 82.37198638916, 325.162083194 > -201.28354338889, heading_data_21_trial_15_on_31-10-2018_11-15-32.csv, gyroscope_data_21_trial_15_on_31-10-2018_11-15-32.csv, accelerometer_data_21_trial_15_on_31-10-2018_11-15-32.csv
21, 16, 31/10/2018, 11:16:24, 1.0159301757812, 49.174659729004, 227.489552922 > -130.21593754308, heading_data_21_trial_16_on_31-10-2018_11-16-24.csv, gyroscope_data_21_trial_16_on_31-10-2018_11-16-24.csv, accelerometer_data_21_trial_16_on_31-10-2018_11-16-24.csv
21, 17, 31/10/2018, 11:17:05, 1.0159301757812, 33.887767791748, -225.71615994547 > 290.81215437657, heading_data_21_trial_17_on_31-10-2018_11-17-05.csv, gyroscope_data_21_trial_17_on_31-10-2018_11-17-05.csv, accelerometer_data_21_trial_17_on_31-10-2018_11-17-05.csv
21, 18, 31/10/2018, 11:17:56, 1.0159301757812, 56.681365966797, -281.30993247402 > 432.47628390778, heading_data_21_trial_18_on_31-10-2018_11-17-56.csv, gyroscope_data_21_trial_18_on_31-10-2018_11-17-56.csv, accelerometer_data_21_trial_18_on_31-10-2018_11-17-56.csv
