Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Gravity, Y Gravity, Z Gravity, X Gravity Raw, Y Gravity Raw, Z Gravity Raw, Delta Time, 
97 second part, 6, 27/11/2018, 15:55:30, 39.157999999996, -0.11866923575227, -0.3377797263212, -0.90815427567129, -0.11701965332031, -0.34364318847656, -0.90745544433594, 0.02011100000027, 
97 second part, 6, 27/11/2018, 15:55:30, 48.663, -0.11870416764579, -0.33833097732189, -0.90818204878776, -0.1190185546875, -0.34329223632812, -0.90843200683594, 0.012068999999883, 
97 second part, 6, 27/11/2018, 15:55:30, 58.685999999987, -0.11877222744371, -0.33868977412095, -0.90783625601836, -0.119384765625, -0.3419189453125, -0.90472412109375, 0.01006499999994, 
97 second part, 6, 27/11/2018, 15:55:30, 68.926999999996, -0.11882585186731, -0.33911492512682, -0.90747621440089, -0.11930847167969, -0.34294128417969, -0.90423583984375, 0.010076000000026, 
97 second part, 6, 27/11/2018, 15:55:30, 79.363000000012, -0.11887106209073, -0.33943499999695, -0.90688362225768, -0.11927795410156, -0.34231567382812, -0.90155029296875, 0.010056999999961, 
97 second part, 6, 27/11/2018, 15:55:30, 90.000999999989, -0.11919403888947, -0.33998094091523, -0.90623890016863, -0.12210083007812, -0.34489440917969, -0.90043640136719, 0.010060000000067, 
97 second part, 6, 27/11/2018, 15:55:30, 99.274000000005, -0.11940994994193, -0.34049822768308, -0.90592873085489, -0.12135314941406, -0.34515380859375, -0.90313720703125, 0.01007299999992, 
97 second part, 6, 27/11/2018, 15:55:30, 109.09099999999, -0.1198117894204, -0.34086765540305, -0.90576707114831, -0.12342834472656, -0.34419250488281, -0.90431213378906, 0.010076000000026, 
97 second part, 6, 27/11/2018, 15:55:30, 119.06700000001, -0.12025584241195, -0.34100482785103, -0.9058687697952, -0.12425231933594, -0.34223937988281, -0.90678405761719, 0.010052000000087, 
97 second part, 6, 27/11/2018, 15:55:30, 129.209, -0.12065396422544, -0.34103367856202, -0.90618460277662, -0.12423706054688, -0.34129333496094, -0.90902709960938, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:30, 139.27900000001, -0.12113281829118, -0.34072852847926, -0.90667789787005, -0.12544250488281, -0.33798217773438, -0.91111755371094, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 149.34700000001, -0.12164771029019, -0.34061411068992, -0.90702878484086, -0.12628173828125, -0.33958435058594, -0.91018676757812, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 159.34400000001, -0.12199667217132, -0.34068661075374, -0.90751395567318, -0.12513732910156, -0.34133911132812, -0.91188049316406, 0.010048000000097, 
97 second part, 6, 27/11/2018, 15:55:30, 169.459, -0.122104744212, -0.34072286911196, -0.90807725737148, -0.12307739257812, -0.34104919433594, -0.91314697265625, 0.010074999999688, 
97 second part, 6, 27/11/2018, 15:55:30, 179.47899999999, -0.12200517066971, -0.34097065056014, -0.90853082313824, -0.12110900878906, -0.34320068359375, -0.91261291503906, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 190.38399999999, -0.12178585477461, -0.3413874404846, -0.90877118564864, -0.11981201171875, -0.34513854980469, -0.91093444824219, 0.010045999999875, 
97 second part, 6, 27/11/2018, 15:55:30, 199.44399999999, -0.12161135865262, -0.34188156997129, -0.90870522431034, -0.12004089355469, -0.34632873535156, -0.90811157226562, 0.010067000000163, 
97 second part, 6, 27/11/2018, 15:55:30, 210.405, -0.12160079651783, -0.3422469408062, -0.90855430637149, -0.12150573730469, -0.34553527832031, -0.90719604492188, 0.010087000000112, 
97 second part, 6, 27/11/2018, 15:55:30, 219.75899999999, -0.12154093659261, -0.34264138735058, -0.90827046997262, -0.12100219726562, -0.34619140625, -0.90571594238281, 0.010075999999572, 
97 second part, 6, 27/11/2018, 15:55:30, 229.87100000001, -0.12115899869507, -0.34324968513896, -0.9081996485613, -0.11772155761719, -0.34872436523438, -0.90756225585938, 0.010048000000097, 
97 second part, 6, 27/11/2018, 15:55:30, 239.85200000001, -0.12059247626697, -0.34366897932037, -0.90848380968173, -0.11549377441406, -0.34744262695312, -0.91104125976562, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 250.00200000001, -0.12017721057386, -0.3441577332438, -0.90874413232684, -0.11643981933594, -0.34855651855469, -0.91108703613281, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:30, 259.97899999999, -0.12010864723132, -0.34466322456786, -0.90877700669181, -0.11949157714844, -0.34921264648438, -0.90907287597656, 0.010056999999961, 
97 second part, 6, 27/11/2018, 15:55:30, 270.212, -0.12013238944178, -0.34491675074389, -0.90877455016325, -0.12034606933594, -0.34719848632812, -0.90875244140625, 0.010081999999784, 
97 second part, 6, 27/11/2018, 15:55:30, 279.91899999999, -0.12001337657182, -0.34498775877497, -0.90859533733443, -0.11894226074219, -0.34562683105469, -0.906982421875, 0.010040000000117, 
97 second part, 6, 27/11/2018, 15:55:30, 290.44, -0.11941493198105, -0.34505014012403, -0.90801137733145, -0.11402893066406, -0.34561157226562, -0.90275573730469, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:30, 304.15299999999, -0.1185955701306, -0.34497048011554, -0.90770401401237, -0.11122131347656, -0.34425354003906, -0.90493774414062, 0.010078000000249, 
97 second part, 6, 27/11/2018, 15:55:30, 310.87599999999, -0.11749803704332, -0.34476603464305, -0.90767610528692, -0.10762023925781, -0.34292602539062, -0.90742492675781, 0.010063999999602, 
97 second part, 6, 27/11/2018, 15:55:30, 320.94700000001, -0.11658044769446, -0.34434094485062, -0.90809806995354, -0.10832214355469, -0.34051513671875, -0.91189575195312, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 330.52600000001, -0.1161009917922, -0.34386681130305, -0.90849767457928, -0.11178588867188, -0.339599609375, -0.91209411621094, 0.010069999999814, 
97 second part, 6, 27/11/2018, 15:55:30, 340.44, -0.11595482083563, -0.34343093583681, -0.90946156678932, -0.11463928222656, -0.33950805664062, -0.91813659667969, 0.010040000000117, 
97 second part, 6, 27/11/2018, 15:55:30, 350.614, -0.11560354041223, -0.3429196293625, -0.90992928950492, -0.11244201660156, -0.33831787109375, -0.91413879394531, 0.010072000000036, 
97 second part, 6, 27/11/2018, 15:55:30, 360.66, -0.11529959506241, -0.34251285929735, -0.91006490059349, -0.11256408691406, -0.33885192871094, -0.91128540039062, 0.010070000000269, 
97 second part, 6, 27/11/2018, 15:55:30, 370.769, -0.11474528252883, -0.34252365832855, -0.9101137083857, -0.10975646972656, -0.34262084960938, -0.91055297851562, 0.010070999999698, 
97 second part, 6, 27/11/2018, 15:55:30, 380.83499999999, -0.11405414050641, -0.34256999855038, -0.91014085073073, -0.10783386230469, -0.34298706054688, -0.91038513183594, 0.010071000000153, 
97 second part, 6, 27/11/2018, 15:55:30, 390.98999999999, -0.11316355799874, -0.34253693668363, -0.9099333452475, -0.10514831542969, -0.34223937988281, -0.90806579589844, 0.010044999999991, 
97 second part, 6, 27/11/2018, 15:55:30, 401.226, -0.11225369633949, -0.34254685385511, -0.909479561504, -0.10406494140625, -0.34263610839844, -0.9053955078125, 0.010063000000173, 
97 second part, 6, 27/11/2018, 15:55:30, 412.04000000001, -0.11116016264304, -0.34274956593053, -0.90929240857625, -0.101318359375, -0.34457397460938, -0.90760803222656, 0.010093999999754, 
