Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Rotation (Deg), Y Rotation (Deg), Z Rotation (Deg), 
97 second part, 4, 27/11/2018, 15:54:27, 66.201000000001, 0.025829359222372, -0.20237621511809, -0.40685178332456, 
97 second part, 4, 27/11/2018, 15:54:27, 100.141, -0.0075033774109119, -0.26442462818991, -0.63875158700759, 
97 second part, 4, 27/11/2018, 15:54:27, 132.59899999999, 0.0038478886412874, -0.11664889645173, -0.32538348746661, 
97 second part, 4, 27/11/2018, 15:54:27, 166.14499999999, -0.00053975061035211, -0.18923137994404, -0.51636954907279, 
97 second part, 4, 27/11/2018, 15:54:27, 199.541, -0.031564070068439, -0.21744678955133, -0.58331002881007, 
97 second part, 4, 27/11/2018, 15:54:27, 232.88699999999, -0.034803962402495, -0.24065947705183, -0.64740344238563, 
97 second part, 4, 27/11/2018, 15:54:27, 266.16500000001, -0.028534652252352, -0.30111206268473, -0.69348055054086, 
97 second part, 4, 27/11/2018, 15:54:27, 299.552, -0.064677821777036, -0.31325551180881, -0.74710880483653, 
97 second part, 4, 27/11/2018, 15:54:27, 332.89799999999, -0.098241075622091, -0.3208256090683, -0.8215996592063, 
97 second part, 4, 27/11/2018, 15:54:27, 365.88699999999, -0.091319921875286, -0.39022953125122, -0.8943466796903, 
97 second part, 4, 27/11/2018, 15:54:27, 399.38, -0.10092062500032, -0.35570539062612, -0.90878531250285, 
97 second part, 4, 27/11/2018, 15:54:27, 432.685, -0.1039920065299, -0.2911996672797, -0.92852233954618, 
97 second part, 4, 27/11/2018, 15:54:27, 465.99100000001, -0.10008659207265, -0.3400642751808, -0.98383988631776, 
97 second part, 4, 27/11/2018, 15:54:27, 499.345, -0.098662890623961, -0.37691316405853, -1.0311005859266, 
97 second part, 4, 27/11/2018, 15:54:27, 532.63999999998, -0.092864884186293, -0.40033254455783, -1.0844270305692, 
97 second part, 4, 27/11/2018, 15:54:27, 566.12700000001, -0.089527952637108, -0.44618862524608, -1.0966917876024, 
97 second part, 4, 27/11/2018, 15:54:28, 599.375, -0.091229258545042, -0.45151475195372, -1.1396471671158, 
97 second part, 4, 27/11/2018, 15:54:28, 632.62599999999, -0.12346065536491, -0.4378397557065, -1.1674245476524, 
97 second part, 4, 27/11/2018, 15:54:28, 666.01300000001, -0.15067796127195, -0.44303697898499, -1.2074837979789, 
97 second part, 4, 27/11/2018, 15:54:28, 699.26999999999, -0.16911102587833, -0.60247216210733, -1.642343777094, 
97 second part, 4, 27/11/2018, 15:54:28, 732.75899999999, -0.12405422131411, -0.46378115126274, -1.2555723907382, 
97 second part, 4, 27/11/2018, 15:54:28, 765.94699999999, -0.071316904785255, -0.32436130543563, -0.85318792230343, 
97 second part, 4, 27/11/2018, 15:54:28, 799.33299999998, -0.16909158789074, -0.680241728333, -1.7685839288648, 
97 second part, 4, 27/11/2018, 15:54:28, 832.59099999999, -0.13121355197139, -0.51706057527142, -1.3330255223994, 
97 second part, 4, 27/11/2018, 15:54:28, 866.03, -0.12854463043282, -0.51964098266883, -1.3566584648206, 
97 second part, 4, 27/11/2018, 15:54:28, 899.443, -0.091647617369169, -0.35432069353692, -0.9139160462198, 
97 second part, 4, 27/11/2018, 15:54:28, 932.63500000001, -0.16067665951672, -0.72060265334158, -1.8698281121066, 
97 second part, 4, 27/11/2018, 15:54:28, 965.978, -0.12001250829966, -0.54471525731914, -1.4220126518422, 
97 second part, 4, 27/11/2018, 15:54:28, 999.454, -0.084684006256799, -0.36389219418634, -0.95755249660515, 
97 second part, 4, 27/11/2018, 15:54:28, 1032.44, -0.14897146105903, -0.77604621185022, -1.9639654119192, 
97 second part, 4, 27/11/2018, 15:54:28, 1065.745, -0.1276474293525, -0.60101955925313, -1.4806520605549, 
97 second part, 4, 27/11/2018, 15:54:28, 1099.099, -0.12231263656534, -0.61455781096998, -1.5049575324911, 
97 second part, 4, 27/11/2018, 15:54:28, 1132.463, -0.14282939721802, -0.61762007968671, -1.5340604435557, 
97 second part, 4, 27/11/2018, 15:54:28, 1165.804, -0.16361397863764, -0.61293744047525, -1.5405955483546, 
97 second part, 4, 27/11/2018, 15:54:28, 1199.232, -0.18647302056796, -0.62966180163275, -1.5529301887133, 
97 second part, 4, 27/11/2018, 15:54:28, 1232.521, -0.18648330517713, -0.61307310545793, -1.5589887141379, 
97 second part, 4, 27/11/2018, 15:54:28, 1265.988, -0.1940807834451, -0.58339129833335, -1.5556303831614, 
97 second part, 4, 27/11/2018, 15:54:28, 1299.315, -0.18664932327372, -0.6019828057131, -1.5695074821557, 
97 second part, 4, 27/11/2018, 15:54:28, 1332.71, -0.11472736480752, -0.4200925822158, -1.0606798587073, 
97 second part, 4, 27/11/2018, 15:54:28, 1366.064, -0.20102952957129, -0.84507710456744, -2.1306561183903, 
97 second part, 4, 27/11/2018, 15:54:28, 1399.399, -0.16705416717392, -0.62734372344453, -1.608243097292, 
97 second part, 4, 27/11/2018, 15:54:28, 1432.759, -0.10036036969061, -0.41946861935703, -1.0776266548839, 
97 second part, 4, 27/11/2018, 15:54:28, 1466.098, -0.24754116128639, -0.82096143704553, -2.1500795776148, 
97 second part, 4, 27/11/2018, 15:54:28, 1499.409, -0.16926414367595, -0.63198348101506, -1.610488532402, 
97 second part, 4, 27/11/2018, 15:54:28, 1532.75, -0.14790303924641, -0.66413811249139, -1.6075074533931, 
97 second part, 4, 27/11/2018, 15:54:28, 1566.079, -0.14854654113717, -0.636000995237, -1.5885223036138, 
97 second part, 4, 27/11/2018, 15:54:29, 1599.414, -0.14173416622928, -0.61505853318802, -1.5976751688999, 
97 second part, 4, 27/11/2018, 15:54:29, 1632.787, -0.16934648675618, -0.63214669569701, -1.6086097016679, 
97 second part, 4, 27/11/2018, 15:54:29, 1665.981, -0.1714090624982, -0.64098226561825, -1.6074230859206, 
97 second part, 4, 27/11/2018, 15:54:29, 1699.433, -0.13169395431666, -0.65270615982785, -1.619643517703, 
97 second part, 4, 27/11/2018, 15:54:29, 1732.897, -0.14058323876822, -0.6611849384704, -1.6221108185884, 
97 second part, 4, 27/11/2018, 15:54:29, 1766.021, -0.098669081177232, -0.4305587623922, -1.0813348996329, 
97 second part, 4, 27/11/2018, 15:54:29, 1799.428, -0.23098361938432, -0.86123892370441, -2.1839614997822, 
97 second part, 4, 27/11/2018, 15:54:29, 1832.773, -0.18295383026222, -0.64143120293011, -1.6175824220363, 
97 second part, 4, 27/11/2018, 15:54:29, 1866.076, -0.11421781786951, -0.42117515661037, -1.0809077021029, 
97 second part, 4, 27/11/2018, 15:54:29, 1899.43, -0.20643167843711, -0.84527057735019, -2.1799908633358, 
97 second part, 4, 27/11/2018, 15:54:29, 1932.767, -0.14024279129104, -0.671120125202, -1.6443333409971, 
97 second part, 4, 27/11/2018, 15:54:29, 1966.212, -0.16074860980148, -0.68985629287392, -1.6513257042768, 
97 second part, 4, 27/11/2018, 15:54:29, 1999.839, -0.16279231332392, -0.69887459295629, -1.6552305553125, 
97 second part, 4, 27/11/2018, 15:54:29, 2032.783, -0.20018131622265, -0.6975561062147, -1.6549138737447, 
97 second part, 4, 27/11/2018, 15:54:29, 2066.158, -0.20929581298919, -0.68057455737601, -1.6622635363842, 
97 second part, 4, 27/11/2018, 15:54:29, 2099.442, -0.18643797805887, -0.66247173675896, -1.6706163538451, 
97 second part, 4, 27/11/2018, 15:54:29, 2132.774, -0.15881303027268, -0.65517284142755, -1.660962959831, 
97 second part, 4, 27/11/2018, 15:54:29, 2166.167, -0.15381156051509, -0.6667418245642, -1.6723690965896, 
97 second part, 4, 27/11/2018, 15:54:29, 2199.456, -0.17408907800332, -0.69009221820222, -1.688457505619, 
97 second part, 4, 27/11/2018, 15:54:29, 2232.858, -0.17856313293654, -0.70112754758464, -1.6778249418825, 
97 second part, 4, 27/11/2018, 15:54:29, 2266.278, -0.18801290634, -0.70875735488307, -1.6724071996932, 
97 second part, 4, 27/11/2018, 15:54:29, 2299.32, -0.12233319207781, -0.46148221968143, -1.1160765854355, 
97 second part, 4, 27/11/2018, 15:54:29, 2332.787, -0.27371235269088, -0.88370344344843, -2.2098453548064, 
97 second part, 4, 27/11/2018, 15:54:29, 2366.14, -0.20747668798918, -0.65741370556927, -1.6532607963939, 
97 second part, 4, 27/11/2018, 15:54:29, 2399.661, -0.21728421859859, -0.6442315270268, -1.6481726097196, 
97 second part, 4, 27/11/2018, 15:54:29, 2432.806, -0.22495707641624, -0.63290180749576, -1.6212898724382, 
97 second part, 4, 27/11/2018, 15:54:29, 2466.148, -0.21255435540764, -0.65542891253639, -1.6357045779871, 
97 second part, 4, 27/11/2018, 15:54:29, 2499.501, -0.16883332809309, -0.63900886161277, -1.6312756613788, 
97 second part, 4, 27/11/2018, 15:54:29, 2532.815, -0.15060691619982, -0.61290557265153, -1.6254946692012, 
97 second part, 4, 27/11/2018, 15:54:29, 2566.139, -0.2068566492912, -0.61363078088143, -1.5968321295715, 
97 second part, 4, 27/11/2018, 15:54:30, 2599.981, -0.24190771179238, -0.65813738708602, -1.5491125854517, 
97 second part, 4, 27/11/2018, 15:54:30, 2632.726, -0.2867984580684, -0.67915647431839, -1.4799941362587, 
97 second part, 4, 27/11/2018, 15:54:30, 2666.164, -0.25901584710633, -0.6757531388534, -1.4572319930691, 
97 second part, 4, 27/11/2018, 15:54:30, 2699.638, -0.1801402970896, -0.64791330292099, -1.4948045693288, 
97 second part, 4, 27/11/2018, 15:54:30, 2732.744, -0.099777800903254, -0.59360772514304, -1.4844842850485, 
97 second part, 4, 27/11/2018, 15:54:30, 2766.287, -0.099647747070443, -0.58476225903397, -1.5062716817647, 
97 second part, 4, 27/11/2018, 15:54:30, 2799.826, -0.1069030836478, -0.67502899558464, -1.5442507128779, 
97 second part, 4, 27/11/2018, 15:54:30, 2832.919, -0.11679757031301, -0.75547185205407, -1.5651306870185, 
97 second part, 4, 27/11/2018, 15:54:30, 2866.147, -0.14054596972675, -0.77500810669047, -1.5254935415059, 
97 second part, 4, 27/11/2018, 15:54:30, 2899.504, -0.17812269470203, -0.75643941192577, -1.5115461236562, 
97 second part, 4, 27/11/2018, 15:54:30, 2932.77, -0.16104403762685, -0.72618977881786, -1.4496071758151, 
97 second part, 4, 27/11/2018, 15:54:30, 2967.077, -0.13293197259652, -0.67443025479788, -1.3636163963147, 
97 second part, 4, 27/11/2018, 15:54:30, 2999.666, -0.16897054815673, -0.70031288076778, -1.4076161860198, 
97 second part, 4, 27/11/2018, 15:54:30, 3032.795, -0.14160802841169, -0.71689477142243, -1.5118073113232, 
97 second part, 4, 27/11/2018, 15:54:30, 3066.166, -0.082489663085257, -0.7234260337007, -1.5710666611351, 
97 second part, 4, 27/11/2018, 15:54:30, 3099.499, -0.096344812988466, -0.69826288574353, -1.60171562305, 
97 second part, 4, 27/11/2018, 15:54:30, 3132.705, -0.14601991644417, -0.7175274597537, -1.6739094975735, 
97 second part, 4, 27/11/2018, 15:54:30, 3166.167, -0.17305831539795, -0.74532143197107, -1.6940654231753, 
97 second part, 4, 27/11/2018, 15:54:30, 3199.513, -0.22672000000071, -0.74819011718985, -1.6764170312553, 
97 second part, 4, 27/11/2018, 15:54:30, 3233.125, -0.27823495926054, -0.7098440554085, -1.6969501708313, 
97 second part, 4, 27/11/2018, 15:54:30, 3267.624, -0.27814249572525, -0.66606460540222, -1.7460671035623, 
97 second part, 4, 27/11/2018, 15:54:30, 3299.507, -0.21716921380538, -0.67666925420903, -1.7625980916991, 
97 second part, 4, 27/11/2018, 15:54:30, 3332.845, -0.21347828125067, -0.69310109375217, -1.8341623828183, 
97 second part, 4, 27/11/2018, 15:54:30, 3366.176, -0.18326068725685, -0.67465964950927, -1.8601935196024, 
97 second part, 4, 27/11/2018, 15:54:30, 3399.524, -0.21804828887849, -0.68638763171102, -1.8485269580001, 
97 second part, 4, 27/11/2018, 15:54:30, 3432.846, -0.22344821191436, -0.75866863659768, -1.8857963129908, 
97 second part, 4, 27/11/2018, 15:54:30, 3466.142, -0.18808250097738, -0.76664140137052, -1.8921250041586, 
97 second part, 4, 27/11/2018, 15:54:30, 3499.528, -0.15358137725757, -0.73694218606217, -1.9121620646577, 
97 second part, 4, 27/11/2018, 15:54:30, 3532.858, -0.17887685790936, -0.70722404494924, -1.9566444370946, 
97 second part, 4, 27/11/2018, 15:54:30, 3566.273, -0.1868907623294, -0.75623407745484, -1.9938131103548, 
97 second part, 4, 27/11/2018, 15:54:31, 3599.488, -0.20177963855062, -0.82042707403896, -2.0029263976521, 
97 second part, 4, 27/11/2018, 15:54:31, 3632.865, -0.16897763040258, -0.84837950093563, -2.0034709314537, 
97 second part, 4, 27/11/2018, 15:54:31, 3666.18, -0.16995912341228, -0.79984699666978, -1.9903569374905, 
97 second part, 4, 27/11/2018, 15:54:31, 3699.548, -0.23034901077081, -0.78440979705164, -2.0077455022265, 
97 second part, 4, 27/11/2018, 15:54:31, 3732.888, -0.2740255623807, -0.81451936789765, -1.9977925503437, 
97 second part, 4, 27/11/2018, 15:54:31, 3766.419, -0.30920921273793, -0.82182477163667, -1.9706779242394, 
97 second part, 4, 27/11/2018, 15:54:31, 3799.563, -0.28408475540125, -0.7848899935598, -1.9876331472753, 
97 second part, 4, 27/11/2018, 15:54:31, 3832.87, -0.24696194183333, -0.75891689346263, -2.0053892530047, 
97 second part, 4, 27/11/2018, 15:54:31, 3866.213, -0.28570099841147, -0.75541541070129, -2.0698121846807, 
97 second part, 4, 27/11/2018, 15:54:31, 3899.431, -0.26843389105464, -0.77589661313557, -2.1055792943303, 
97 second part, 4, 27/11/2018, 15:54:31, 3933.428, -0.22398187572993, -0.80297954003012, -2.0949268655773, 
97 second part, 4, 27/11/2018, 15:54:31, 3966.212, -0.19835275067282, -0.84144113525999, -2.05368263092, 
97 second part, 4, 27/11/2018, 15:54:31, 3999.476, -0.20885377990836, -0.85576065285192, -1.9741639669144, 
97 second part, 4, 27/11/2018, 15:54:31, 4032.883, -0.28374691259458, -0.81418019017673, -1.8271095781052, 
97 second part, 4, 27/11/2018, 15:54:31, 4066.229, -0.29998159802331, -0.72859181842247, -1.7659123407643, 
97 second part, 4, 27/11/2018, 15:54:31, 4099.645, -0.28904560729961, -0.66151499633745, -1.7897244344318, 
97 second part, 4, 27/11/2018, 15:54:31, 4132.895, -0.24693554580822, -0.69590594009776, -1.7799392385961, 
97 second part, 4, 27/11/2018, 15:54:31, 4166.225, -0.20527790441778, -0.7210172690694, -1.749483334066, 
97 second part, 4, 27/11/2018, 15:54:31, 4199.516, -0.20042518042049, -0.72050444024862, -1.7528813215992, 
97 second part, 4, 27/11/2018, 15:54:31, 4233.451, -0.25147068310656, -0.72752666089184, -1.7386683090896, 
97 second part, 4, 27/11/2018, 15:54:31, 4266.276, -0.28172948901396, -0.75425167047195, -1.7341861837176, 
97 second part, 4, 27/11/2018, 15:54:31, 4299.62, -0.2585340963439, -0.74180787516758, -1.7279342242273, 
97 second part, 4, 27/11/2018, 15:54:31, 4332.906, -0.22048081497011, -0.67685794455924, -1.7080076914837, 
97 second part, 4, 27/11/2018, 15:54:31, 4366.254, -0.16225970135662, -0.68509538843467, -1.7014977013417, 
97 second part, 4, 27/11/2018, 15:54:31, 4399.586, -0.16528981024164, -0.68273430329871, -1.6600874199976, 
97 second part, 4, 27/11/2018, 15:54:31, 4432.83, -0.13040537283309, -0.6941389327689, -1.6553782937143, 
97 second part, 4, 27/11/2018, 15:54:31, 4466.251, -0.14649508398266, -0.69672601439612, -1.6650067790332, 
97 second part, 4, 27/11/2018, 15:54:31, 4499.612, -0.17944780673217, -0.66662814408871, -1.6602996950683, 
97 second part, 4, 27/11/2018, 15:54:31, 4533.033, -0.13977661523447, -0.69694492529346, -1.6541246015637, 
97 second part, 4, 27/11/2018, 15:54:31, 4567.559, -0.18117643331011, -0.72546796583525, -1.6596991846829, 
97 second part, 4, 27/11/2018, 15:54:32, 4599.393, -0.22103077587946, -0.70194322705256, -1.6448866776165, 
97 second part, 4, 27/11/2018, 15:54:32, 4632.661, -0.2380288093249, -0.66539515993906, -1.641649977164, 
97 second part, 4, 27/11/2018, 15:54:32, 4665.903, -0.31466020404333, -0.67299744598988, -1.6331078875267, 
97 second part, 4, 27/11/2018, 15:54:32, 4699.413, -0.27492831820519, -0.69495845457054, -1.6075815638792, 
97 second part, 4, 27/11/2018, 15:54:32, 4732.709, -0.18870036523474, -0.63666355835083, -1.5529757172881, 
97 second part, 4, 27/11/2018, 15:54:32, 4765.961, -0.17358453109598, -0.58781454764835, -1.5278135420101, 
97 second part, 4, 27/11/2018, 15:54:32, 4799.334, -0.205537624758, -0.59480829047251, -1.548080262742, 
97 second part, 4, 27/11/2018, 15:54:32, 4832.667, -0.20082637435717, -0.62554077300415, -1.5402921029513, 
97 second part, 4, 27/11/2018, 15:54:32, 4865.98, -0.18039791601641, -0.61728179809839, -1.4960871782292, 
97 second part, 4, 27/11/2018, 15:54:32, 4899.391, -0.21906845993161, -0.58341490928966, -1.4475780585558, 
97 second part, 4, 27/11/2018, 15:54:32, 4932.722, -0.26349073519672, -0.5885345214946, -1.4275564211304, 
97 second part, 4, 27/11/2018, 15:54:32, 4966.03, -0.23537980536023, -0.59964387630042, -1.4266409605031, 
97 second part, 4, 27/11/2018, 15:54:32, 4999.468, -0.21042442016501, -0.57163200970187, -1.4174538464288, 
97 second part, 4, 27/11/2018, 15:54:32, 5032.803, -0.15297883181767, -0.54052683041395, -1.3998369855655, 
97 second part, 4, 27/11/2018, 15:54:32, 5066.235, -0.14121357958926, -0.55217601739273, -1.4023769274234, 
97 second part, 4, 27/11/2018, 15:54:32, 5099.472, -0.14775875549396, -0.58477188782055, -1.4001595081405, 
97 second part, 4, 27/11/2018, 15:54:32, 5132.803, -0.15481705850219, -0.56376171461484, -1.4090115289764, 
97 second part, 4, 27/11/2018, 15:54:32, 5166.259, -0.14818554547062, -0.52222665536298, -1.4304322864325, 
97 second part, 4, 27/11/2018, 15:54:32, 5199.549, -0.16435864343408, -0.53876119546988, -1.4240642823613, 
97 second part, 4, 27/11/2018, 15:54:32, 5233.03, -0.19854371859692, -0.59258975784155, -1.4199750307582, 
97 second part, 4, 27/11/2018, 15:54:32, 5266.421, -0.22899172430412, -0.57620879782084, -1.4078823810115, 
97 second part, 4, 27/11/2018, 15:54:32, 5299.641, -0.20131652783107, -0.57149027041354, -1.4057418121881, 
97 second part, 4, 27/11/2018, 15:54:32, 5332.977, -0.17009833886793, -0.58924422949475, -1.4407667951723, 
97 second part, 4, 27/11/2018, 15:54:32, 5366.344, -0.12413315286224, -0.55948456809859, -1.4539305311243, 
97 second part, 4, 27/11/2018, 15:54:32, 5399.645, -0.11956499884029, -0.55201232859783, -1.4480947220912, 
97 second part, 4, 27/11/2018, 15:54:32, 5432.976, -0.13998253399783, -0.58714915961216, -1.44856587425, 
97 second part, 4, 27/11/2018, 15:54:32, 5466.397, -0.14900343109064, -0.59645413009378, -1.4553641697628, 
97 second part, 4, 27/11/2018, 15:54:32, 5499.479, -0.14680169613656, -0.58218719421419, -1.4545775768135, 
97 second part, 4, 27/11/2018, 15:54:32, 5534.086, -0.17461179077004, -0.59451612151609, -1.4560074811434, 
97 second part, 4, 27/11/2018, 15:54:32, 5566.321, -0.1930814629223, -0.61072675145326, -1.4441852635585, 
97 second part, 4, 27/11/2018, 15:54:33, 5599.657, -0.23073485015745, -0.59288901867358, -1.438694572441, 
97 second part, 4, 27/11/2018, 15:54:33, 5632.971, -0.22646655853394, -0.56265633842773, -1.4409968904955, 
97 second part, 4, 27/11/2018, 15:54:33, 5666.306, -0.18445125430168, -0.54581551285932, -1.4629760390522, 
97 second part, 4, 27/11/2018, 15:54:33, 5699.662, -0.11209698010354, -0.55687435886116, -1.478572437208, 
97 second part, 4, 27/11/2018, 15:54:33, 5732.984, -0.099264076354945, -0.61668317802407, -1.4932771734461, 
97 second part, 4, 27/11/2018, 15:54:33, 5766.33, -0.11077176895128, -0.62858978294293, -1.4915427579479, 
97 second part, 4, 27/11/2018, 15:54:33, 5799.799, -0.10792195141563, -0.62146827490014, -1.527917508448, 
97 second part, 4, 27/11/2018, 15:54:33, 5832.914, -0.1028128189083, -0.61467795318367, -1.5651163174378, 
97 second part, 4, 27/11/2018, 15:54:33, 5866.23, -0.067615227508911, -0.6284431250034, -1.5765870388116, 
97 second part, 4, 27/11/2018, 15:54:33, 5899.652, -0.14037726086466, -0.62426240533624, -1.5309827402387, 
97 second part, 4, 27/11/2018, 15:54:33, 5932.901, -0.13269656021089, -0.59656432731499, -1.4627103097502, 
97 second part, 4, 27/11/2018, 15:54:33, 5966.355, -0.15624476806709, -0.58216517358652, -1.4429457861391, 
97 second part, 4, 27/11/2018, 15:54:33, 5999.682, -0.22618197463775, -0.58376541425534, -1.4460672285325, 
97 second part, 4, 27/11/2018, 15:54:33, 6032.891, -0.23321197659456, -0.56018262021245, -1.4496905398503, 
97 second part, 4, 27/11/2018, 15:54:33, 6066.351, -0.22674425134169, -0.54413916000107, -1.4411771422966, 
97 second part, 4, 27/11/2018, 15:54:33, 6099.664, -0.20515930297963, -0.56250697426147, -1.4661220770343, 
97 second part, 4, 27/11/2018, 15:54:33, 6133.588, -0.21892410833663, -0.5923398692606, -1.439789914271, 
97 second part, 4, 27/11/2018, 15:54:33, 6166.267, -0.23595607418815, -0.57398248092631, -1.4103311264643, 
97 second part, 4, 27/11/2018, 15:54:33, 6199.66, -0.17348888891756, -0.58961105420447, -1.384263483777, 
