Participant, Trial, Date, Time, Milliseconds Since Trial Start, Magnetic, Geographic, 
97 second part, 6, 27/11/2018, 15:55:30, 550.56700000001, 202.9873046875, 203.03530883789, 
97 second part, 6, 27/11/2018, 15:55:30, 581.40599999999, 201.77459716797, 201.82260131836, 
97 second part, 6, 27/11/2018, 15:55:31, 732.45300000001, 199.63320922852, 199.68121337891, 
97 second part, 6, 27/11/2018, 15:55:31, 789.83300000001, 198.26385498047, 198.31185913086, 
97 second part, 6, 27/11/2018, 15:55:31, 850.19, 199.61849975586, 199.66650390625, 
97 second part, 6, 27/11/2018, 15:55:31, 910.766, 198.13157653809, 198.17958068848, 
97 second part, 6, 27/11/2018, 15:55:31, 1032.592, 192.56396484375, 192.61196899414, 
97 second part, 6, 27/11/2018, 15:55:31, 1065.55, 191.49807739258, 191.54608154297, 
97 second part, 6, 27/11/2018, 15:55:31, 1124.261, 190.23992919922, 190.28793334961, 
97 second part, 6, 27/11/2018, 15:55:31, 1184.925, 188.27746582031, 188.3254699707, 
97 second part, 6, 27/11/2018, 15:55:31, 1216.447, 186.08737182617, 186.13537597656, 
97 second part, 6, 27/11/2018, 15:55:31, 1272.828, 184.70799255371, 184.7559967041, 
97 second part, 6, 27/11/2018, 15:55:31, 1303.128, 183.46299743652, 183.51100158691, 
97 second part, 6, 27/11/2018, 15:55:31, 1333.488, 180.27766418457, 180.32566833496, 
97 second part, 6, 27/11/2018, 15:55:31, 1363.595, 179.16659545898, 179.21459960938, 
97 second part, 6, 27/11/2018, 15:55:31, 1484.298, 177.8776550293, 177.92565917969, 
97 second part, 6, 27/11/2018, 15:55:31, 1544.833, 175.4429473877, 175.49095153809, 
97 second part, 6, 27/11/2018, 15:55:31, 1575.043, 173.5499420166, 173.59794616699, 
97 second part, 6, 27/11/2018, 15:55:31, 1605.632, 171.62147521973, 171.66947937012, 
97 second part, 6, 27/11/2018, 15:55:31, 1636.357, 169.93653869629, 169.98454284668, 
97 second part, 6, 27/11/2018, 15:55:32, 1666.659, 168.01657104492, 168.06457519531, 
97 second part, 6, 27/11/2018, 15:55:32, 1698.651, 166.0205078125, 166.06851196289, 
97 second part, 6, 27/11/2018, 15:55:32, 1728.943, 164.13343811035, 164.18144226074, 
97 second part, 6, 27/11/2018, 15:55:32, 1758.401, 162.35083007812, 162.39883422852, 
97 second part, 6, 27/11/2018, 15:55:32, 1789.407, 161.10919189453, 161.15719604492, 
97 second part, 6, 27/11/2018, 15:55:32, 1819.637, 160.02787780762, 160.07588195801, 
97 second part, 6, 27/11/2018, 15:55:32, 1849.172, 158.95698547363, 159.00498962402, 
97 second part, 6, 27/11/2018, 15:55:32, 1880.19, 157.82827758789, 157.87628173828, 
97 second part, 6, 27/11/2018, 15:55:32, 1909.886, 156.49363708496, 156.54164123535, 
97 second part, 6, 27/11/2018, 15:55:32, 1939.98, 155.05366516113, 155.10166931152, 
97 second part, 6, 27/11/2018, 15:55:32, 1970.557, 153.87252807617, 153.92053222656, 
97 second part, 6, 27/11/2018, 15:55:32, 2000.754, 152.69479370117, 152.74279785156, 
97 second part, 6, 27/11/2018, 15:55:32, 2031.648, 151.23789978027, 151.28590393066, 
97 second part, 6, 27/11/2018, 15:55:32, 2060.419, 149.82525634766, 149.87326049805, 
97 second part, 6, 27/11/2018, 15:55:32, 2090.738, 147.74310302734, 147.79110717773, 
97 second part, 6, 27/11/2018, 15:55:32, 2121.092, 145.74708557129, 145.79508972168, 
97 second part, 6, 27/11/2018, 15:55:32, 2151.527, 144.13674926758, 144.18475341797, 
97 second part, 6, 27/11/2018, 15:55:32, 2181.548, 142.447265625, 142.49526977539, 
